listas,votos,electores
Fernández.de.Kirchner.-.Boudou.(ALIANZA.FRENTE.PARA.LA.VICTORIA),10754,199870
Alfonsin - González Fraga (ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL),17028,199870
Binner - Morandini (ALIANZA FRENTE AMPLIO PROGRESISTA),10543,199870
Altamira - Castillo (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),2457,199870
Duhalde - Das Neves (ALIANZA FRENTE POPULAR),2161,199870
Carrió - Pérez (COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA),207,199870
Rodríguez Saa - Vernet (ALIANZA COMPROMISO FEDERAL),1831,199870
Votos En Blanco,7912,199870
Votos Nulos,1449,199870
